brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,price,harddisk_gb,cpu_weight,normalized_price,normalized_rating,normalized_ram,normalized_harddisk,vfm_score,normalized_vfm_score
lenovo,Unknown,14 Inches,Blue,1000 GB,Intel Core i7,8.0,Windows 11,,Integrated,Intel,1.2 GHz,5.0,589.99,1000.0,0.7,0.1591764116714907,1.0,0.1044776119402985,0.4575645756457564,0.802694926400625,0.7057597499011816
hp,Unknown,15.6 Inches,Silver,1000 GB,Intel Core i5,64.0,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,1.1 GHz,4.5,999.99,1000.0,0.5,0.28184996201981993,0.875,0.9402985074626865,0.4575645756457564,0.8378243954354369,0.747904651179377
msi,Vector GP66 12UGS-267,15.66 Inches,Core Black,1000 GB,Intel Core i9,32.0,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,1599.0,1000.0,0.9,0.461076019078729,1.0,0.4626865671641791,0.4575645756457564,0.8839567959639534,0.8032497935746075
apple,MacBook Air,13.3 Inches,Silver,256 GB,Unknown,8.0,Mac OS,Backlit Keyboard,Integrated,,1.1 GHz,4.8,689.99,256.0,0.5,0.18909678980522954,0.95,0.1044776119402985,0.1143911439114391,0.6602348360137296,0.5348500660830509
apple,MacBook Air,15.3 Inches,Midnight,256 GB,Unknown,8.0,Mac OS,,Integrated,,1.1 GHz,4.8,1144.48,256.0,0.5,0.32508191638525924,0.95,0.1044776119402985,0.1143911439114391,0.6330378106977237,0.5022217349839444
acer,A315-24P-R7VH,15.6 Inches,Silver,128 GB,Ryzen 3,8.0,Windows 11 S,Backlit Keyboard,Integrated,,1.1 GHz,4.5,299.99,128.0,0.4,0.07240731508364802,0.875,0.1044776119402985,0.055350553505535055,0.6172166423971603,0.48324104457065625
apple,MacBook Pro,13.3 Inches,Space Gray,256 GB,Unknown,8.0,Mac OS,Backlit Keyboard,Integrated,,1.1 GHz,4.7,965.08,256.0,0.5,0.27140475801333175,0.925,0.1044776119402985,0.1143911439114391,0.6362732423721092,0.5061032894809452
acer,CB315-3HT,15.6 Inches,Silver,64 GB,Celeron,4.0,Chrome OS,Support Stylus,Integrated,,1.1 GHz,4.4,239.99,64.0,0.2,0.05445508820340471,0.8500000000000001,0.04477611940298507,0.025830258302583026,0.5269387449853036,0.3749344524540658
asus,ROG Strix G16,16 Inches,Eclipse Gray,512 GB,Intel Core i7,16.0,Windows 11 Home,Backlit Keyboard,Dedicated,,1.1 GHz,4.4,1274.03,512.0,0.7,0.3638437662575179,0.8500000000000001,0.22388059701492538,0.23247232472324722,0.7068782148599685,0.5908082302900932
acer,A515-56-347N,15.6 Inches,Silver,128 GB,Intel Core i3,8.0,Windows 11 S,Amazon Alexa,Integrated,,1.1 GHz,4.3,299.99,128.0,0.3,0.07240731508364802,0.825,0.1044776119402985,0.055350553505535055,0.5672166423971603,0.423255934581616
acer,AN515-58-57Y8,15.6 Inches,Black,512 GB,Intel Core i5,16.0,Windows 11 Home,Backlit Keyboard,Dedicated,,1.1 GHz,4.4,814.77,512.0,0.5,0.22643143764050888,0.8500000000000001,0.22388059701492538,0.23247232472324722,0.6643606805833704,0.5397998508892026
hp,Notebook,14 Inches,Grey,1 TB,Ryzen 3,16.0,Windows 11,Anti Glare Coating,Integrated,,1.1 GHz,4.4,379.99,1024.0,0.4,0.0963436175906391,0.8500000000000001,0.22388059701492538,0.46863468634686345,0.6908025988368868,0.5715222783843705
lenovo,Unknown,15.6 Inches,Blue,1152 GB,Pentium,20.0,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,1152.0,0.3,0.09933565540401298,1.0,0.2835820895522388,0.5276752767527676,0.7210005783425604,0.6077508608262627
hp,Unknown,15.6 Inches,Black,1000 GB,Pentium,16.0,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,1000.0,0.3,0.12027992009763018,0.8500000000000001,0.22388059701492538,0.4575645756457564,0.6493548217303224,0.5217972890136007
lenovo,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20.0,Windows 11,,Integrated,Intel,1.1 GHz,5.0,639.99,1000.0,0.5,0.17413660073836013,1.0,0.2835820895522388,0.4575645756457564,0.7655237841096392,0.6611654487263205
acer,Nitro 17,17.3 Inches,Black,1 TB,Ryzen 7,16.0,Windows 11 Home,"Backlit Keyboard, Memory Card Slot",Dedicated,,1.1 GHz,4.4,1199.99,1024.0,0.8,0.34169071828729763,0.8500000000000001,0.22388059701492538,0.46863468634686345,0.781733178697555,0.6806118950705582
hp,hp laptop,15.6 Inches,Black,1 TB,Intel Core i3,16.0,Windows 11 Home,Anti-glare,Integrated,Intel UHD Graphics,1.1 GHz,4.2,473.0,1024.0,0.3,0.1241725612928296,0.8,0.22388059701492538,0.46863468634686345,0.6352368100964487,0.5048598793999115
asus,FX506HF-ES51,15.6 Inches,Graphite Black,512 GB,Intel Core i5,8.0,Windows 11 Home,Backlit Keyboard,Dedicated,,1.1 GHz,4.5,699.99,512.0,0.5,0.19208882761860344,0.875,0.1044776119402985,0.23247232472324722,0.6548486055728261,0.5283881935745727
msi,Thin GF63 12VE-066US,15.6 Inches,Black,512 GB,Intel Core i7,16.0,Windows 11 Home,Anti Glare Coating,RTX 4050,,1.1 GHz,4.5,938.0,512.0,0.7,0.26330231961471523,0.875,0.22388059701492538,0.23247232472324722,0.7344865041885291,0.6239299557297522
lenovo,IdeaPad 3 81X800ENUS,15.6 Inches,Almond,256 GB,Intel Core i3,20.0,Windows 11,Backlit Keyboard,Integrated,,1.1 GHz,4.3,419.0,256.0,0.3,0.10801555710061063,0.825,0.2835820895522388,0.1143911439114391,0.6047719780770415,0.468311153410276
lenovo,IdeaPad Gaming 3,15.6 Inches,Onyx Grey,256 GB,Ryzen 5,8.0,Windows 11 Home,Anti Glare Coating,Dedicated,,1.1 GHz,4.3,801.96,256.0,0.6,0.22259863720157694,0.825,0.1044776119402985,0.1143911439114391,0.6510344665344602,0.5238123625799753
asus,ROG Strix G16,16 Inches,Eclipse Gray,1 TB,Intel Core i9,16.0,Windows 11 Home,Anti Glare Coating,Dedicated,,1.1 GHz,4.5,1799.99,1024.0,0.9,0.5212129870897309,0.875,0.22388059701492538,0.46863468634686345,0.7883287249370685,0.6885245864028586
hp,Chromebook 14a-na0226nr,14 Inches,Mineral Silver,64,Celeron,4.0,Chrome OS,Anti-Glare,Integrated,,1.1 GHz,4.4,249.0,,0.2,0.05715091427325457,0.8500000000000001,0.04477611940298507,,,
hp,TPN-I139_320M3AV,17.3 Inches,Silver,1 TB,Intel Core i3,32.0,Windows 11 Home,HD Audio,Integrated,,1.1 GHz,4.6,510.0,1024.0,0.3,0.135243101202313,0.8999999999999999,0.4626865671641791,0.46863468634686345,0.7107838961444027,0.5954938847186717
hp,i5 12th Gen 15-dy5399nr,15.6 Inches,Silver,512 GB,Intel Core i5,16.0,Windows 11 Home,Micro-edge Bezel,Integrated,,1.1 GHz,4.3,527.15,512.0,0.5,0.1403744460522492,0.825,0.22388059701492538,0.23247232472324722,0.6740720789010223,0.5514506368138372
asus,ROG Strix G16,16 Inches,Eclipse Gray,1000 GB,Intel Core i9,32.0,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 4070,5.6 GHz,4.3,2199.0,1000.0,0.9,0.6405982878811622,0.825,0.4626865671641791,0.4575645756457564,0.7955523422034667,0.6971907759277312
msi,Stealth GS66 12UGS-025,15.6 Inches,Core Black,1000 GB,Intel Core i9,32.0,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,1699.0,1000.0,0.9,0.49099639721246785,0.0,0.4626865671641791,0.4575645756457564,0.5779727203372057,0.43616002494730216
dell,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32.0,Windows 11,,Integrated,Intel,1.1 GHz,5.0,899.99,1000.0,0.5,0.2519295838860811,1.0,0.4626865671641791,0.4575645756457564,0.7857860830024831,0.6854741732806817
lenovo,IdeaPad,14 Inches,Grey,1 TB,Intel Core i3,20.0,Windows 11 Home,Dolby,Integrated,,1.1 GHz,4.3,359.0,1024.0,0.3,0.09006333022036732,0.825,0.2835820895522388,0.46863468634686345,0.6614989548184038,0.5363666321938028
hp,HP Chromebook,14 Inches,Gray,64 GB,Celeron,4.0,Chrome OS,,Integrated,Intel UHD Graphics 600,1.1 GHz,3.8,209.99,64.0,0.2,0.04547897476328305,0.7,0.04477611940298507,0.025830258302583026,0.4837339676733279,0.32310158607184886
lenovo,Ideapad 3i,15.6 Inches,Arctic Grey,512 GB,Intel Core i5,8.0,Windows 11 Pro,Anti Glare Coating,Integrated,,1.1 GHz,4.5,637.35,512.0,0.5,0.1733467027556294,0.875,0.1044776119402985,0.23247232472324722,0.658597030545421,0.5328851872599081
dell,Inspiron,15.6 Inches,Black,1 TB,Celeron,16.0,Windows 11 Home,Anti Glare Coating,Integrated,,1.1 GHz,4.1,439.0,1024.0,0.2,0.1139996327273584,0.7749999999999999,0.22388059701492538,0.46863468634686345,0.5947713958095429,0.456313432864869
acer,CP314-1H-P1Q5,14 Inches,Silver,128 GB,Pentium,8.0,Chrome OS,,Integrated,Intel UHD Graphics,1.1 GHz,4.3,372.66,128.0,0.3,0.09415045387343604,0.825,0.1044776119402985,0.055350553505535055,0.5628680146392028,0.4180388762943665
msi,Katana 15 B13VGK-484US,15.6 Inches,Black,1 TB,Intel Core i7,16.0,Windows 11 Home,Anti Glare Coating,RTX 4070,NVIDIA GeForce RTX 4070,1.1 GHz,4.3,1429.0,1024.0,0.7,0.410211376251373,0.825,0.22388059701492538,0.46863468634686345,0.72552904710474,0.6131836747618882
lenovo,IdeaPad 3,14 Inches,Gray,128 GB,Intel Core i3,8.0,Windows 11 S,"Dolby,Narrow Bezel",Integrated,,1.1 GHz,4.5,281.69,128.0,0.3,0.0669318858851738,0.875,0.1044776119402985,0.055350553505535055,0.5833117282368552,0.44256524446915874
asus,ASUS Vivobook Go 15,15.6 Inches,Star Black,64 GB,Celeron,4.0,Windows 11 S,Thin-bezel,Integrated,,1.1 GHz,4.1,236.47,64.0,0.2,0.053401890893097104,0.7749999999999999,0.04477611940298507,0.025830258302583026,0.5046493844473651,0.3481938575849936
hp,HP Laptop 15-ef2024nr,15 Inches,Natural silver,256 GB,Ryzen 3,8.0,Windows 11 Home,,Integrated,,1.1 GHz,4.5,337.96,256.0,0.4,0.08376808266102866,0.875,0.1044776119402985,0.1143911439114391,0.6238005774425699,0.49113980592784795
asus,UX5304VA-XS76T,13.3 Inches,Gray,1 TB,Intel Core i7,32.0,Windows 11 Pro,Dolby,Integrated,,1.1 GHz,4.3,1399.99,1024.0,0.7,0.40153147455477534,0.825,0.4626865671641791,0.46863468634686345,0.7750262214739103,0.672565543735516
asus,ROG Strix G15,15.6 Inches,Eclipse Gray,1 TB,Ryzen 7,16.0,Windows 11 Home,Anti Glare Coating,Dedicated,,1.1 GHz,4.6,1044.77,1024.0,0.8,0.2952483073481082,0.8999999999999999,0.22388059701492538,0.46863468634686345,0.806021660885393,0.7097508405806443
lenovo,IdeaPad 3,15.6 Inches,Blue,64 GB,Celeron,8.0,Chrome OS,Narrow,Integrated,,1.1 GHz,4.2,294.29,64.0,0.2,0.07070185353002491,0.8,0.1044776119402985,0.025830258302583026,0.5206296904274421,0.3673654658224624
acer,"2023 Newest Acer 15.6"" Chromebook",15.6 Inches,Silver,64 GB,Celeron,4.0,Chrome OS,Anti-glare,Integrated,,1.1 GHz,4.2,224.0,64.0,0.2,0.04967081973981986,0.8,0.04477611940298507,0.025830258302583026,0.5128955986780205,0.35808685893737463
asus,Chromebook C425 Clamshell,14 Inches,Silver,128 GB,Celeron,4.0,Chrome OS,"Anti-glare,Ultra-narrow Bezel",Integrated,,1.1 GHz,4.3,225.82,128.0,0.2,0.05021537062185391,0.825,0.04477611940298507,0.055350553505535055,0.5247147327820565,0.3722663001214909
lenovo,Flex 5,14 Inches,Black,256 GB,Ryzen 5,16.0,Windows 11 Home,,Integrated,AMD Radeon R5,2.1 GHz,4.2,539.99,256.0,0.6,0.14421622260462127,0.8,0.22388059701492538,0.1143911439114391,0.6830915464687767,0.5622713118957239
acer,A115-32-C96U,15.6 Inches,Silver,128 GB,Celeron,4.0,Windows 11 S,,Integrated,Intel UHD Graphics,1.1 GHz,4.3,229.99,128.0,0.2,0.05146305039003082,0.825,0.04477611940298507,0.055350553505535055,0.5244651968284211,0.3719669312889901
asus,ROG Flow Z13,13.4 Inches,Black,1 TB,Intel Core i9,16.0,Windows 11 Home,Stylus,Dedicated,,1.1 GHz,4.4,1749.99,1024.0,0.9,0.5062527980228614,0.8500000000000001,0.22388059701492538,0.46863468634686345,0.7838207627504424,0.6831163742510347
hp,HP,15.6 Inches,Touchscreen,1 TB,Intel Core i3,16.0,Windows 11 Home,,Integrated,Intel Iris Xe Graphics,1.1 GHz,4.5,465.0,1024.0,0.3,0.12177893104213049,0.875,0.22388059701492538,0.46863468634686345,0.6582155361465885,0.5324275075904246
asus,ROG Strix SCAR 16,16 Inches,Off Black,2 TB,Intel Core i9,32.0,Windows 11 Pro,Anti Glare Coating,Dedicated,,1.1 GHz,4.1,3349.0,2048.0,0.9,0.984682636419159,0.7749999999999999,0.4626865671641791,0.940959409594096,0.7842446975881184,0.6836249698083583
asus,ROG Strix SCAR 18,18 Inches,Black,2 TB,Intel Core i9,32.0,Windows 11 Pro,Anti Glare Coating,Dedicated,,1.1 GHz,4.3,3400.1937500000004,2048.0,0.9,1.0,0.825,0.4626865671641791,0.940959409594096,0.7961812248719502,0.6979452478485149
lg,17Z90Q-K.ADB9U1,17 Inches,Black,2 TB,Intel Core i7,32.0,Windows 11 Home,Lightweight,Intel XE,,1.1 GHz,4.3,1734.71,2048.0,0.7,0.5016809642440261,0.825,0.4626865671641791,0.940959409594096,0.825845032023145,0.7335329825416768
asus,ROG Flow Z13,13.4 Inches,Acronym,1 TB,Intel Core i9,32.0,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 4070,1.1 GHz,4.2,2499.99,1024.0,0.9,0.7306556340259027,0.8,0.4626865671641791,0.46863468634686345,0.7717013895796848,0.6685767355981123
lenovo,Chromebook,11.6 Inches,Black,32 GB,MediaTek MT8183,4.0,Chrome OS,Anti-glare,Integrated,,1.1 GHz,4.3,114.74,32.0,0.2,0.016979814590896796,0.825,0.04477611940298507,0.01107011070110701,0.5247197775675837,0.3722723523617854
microsoft,Surface Laptop,15 Inches,Platinum,512 GB,Intel Core i7,16.0,Windows 11 Home,"Backlit Keyboard, Support Stylus",Integrated,,1.1 GHz,4.4,1084.66,512.0,0.7,0.3071835461856567,0.8500000000000001,0.22388059701492538,0.23247232472324722,0.7182102588743408,0.6044033084221485
asus,TUF Dash 15 (2022),15.6 Inches,Off Black,512 GB,Intel Core i7,16.0,Windows 11 Home,Backlit Keyboard,RTX 3060,,1.1 GHz,4.5,1150.99,512.0,0.7,0.32702973300176563,0.875,0.22388059701492538,0.23247232472324722,0.7217410215111191,0.6086391721243953
asus,TUF Gaming A15,15.6 Inches,Mecha Gray,1 TB,Ryzen 7,16.0,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4050,1.1 GHz,4.3,1149.0,1024.0,0.8,0.3264343174769042,0.825,0.22388059701492538,0.46863468634686345,0.7772844588596336,0.6752747560947954
hp,14-dq0070nr,14 Inches,Pale rose gold,64 GB,Celeron,4.0,Windows 11 S,Micro-edge Bezel,Integrated,,1.1 GHz,4.3,199.99,64.0,0.2,0.04248693694990917,0.825,0.04477611940298507,0.025830258302583026,0.5218323752360027,0.36880832943293546
asus,ROG Strix Scar 17,17.3 Inches,Off Black,1 TB,Ryzen 9,32.0,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 4080,1.1 GHz,4.1,2619.99,1024.0,1.0,0.7665600877863893,0.7749999999999999,0.4626865671641791,0.46863468634686345,0.7920204988275874,0.6929536156604075
acer,A3SP14-31PT-37NV,14 Inches,Silver,128 GB,Intel Core i3,8.0,Windows 11 S,Pen,Integrated,,1.1 GHz,4.5,426.64,128.0,0.3,0.11030147399002828,0.875,0.1044776119402985,0.055350553505535055,0.5746378106158843,0.4321591264185625
asus,ASUS TUF Gaming F1,17.3 Inches,Graphite Black,512 GB,Intel Core i5,8.0,Windows 11 Home,Numeric Keypad,RTX 3050,,1.1 GHz,4.5,783.95,512.0,0.5,0.2172099770996906,0.875,0.1044776119402985,0.23247232472324722,0.6498243756766087,0.5223606139158761
lenovo,IdeaPad Flex 5i Chromebook,13.3 Inches,Abyss Blue,128 GB,Intel Core i3,8.0,Chrome OS,Anti Glare Coating,Integrated,,1.1 GHz,4.4,479.0,128.0,0.3,0.12596778398085395,0.8500000000000001,0.1044776119402985,0.055350553505535055,0.5640045486177192,0.4194023786085182
hp,Unknown,15.6 Inches,Silver,1 TB,Intel Core i5,16.0,Windows 11,Anti-glare,Integrated,Intel UHD Graphics,1.1 GHz,4.1,553.0,1024.0,0.5,0.1481088637998207,0.7749999999999999,0.22388059701492538,0.46863468634686345,0.6929495495950504,0.5740979799317605
dell,Dell Latitude,14 Inches,Black,512 GB,Intel Core i7,16.0,Windows 10 Pro,TrackPoint,Integrated,,1.1 GHz,4.0,399.0,512.0,0.7,0.10203148147386286,0.75,0.22388059701492538,0.23247232472324722,0.7292406718166995,0.6176365190935869
hp,Chromebook 11 G9 EE,11.6 Inches,Black,1000 GB,Celeron,4.0,Chrome OS,Anti-glare Screen,UHD Graphics,Intel UHD Graphics,2.6 GHz,5.0,271.99,1000.0,0.2,0.06402960920620114,1.0,0.04477611940298507,0.4575645756457564,0.6347839883862203,0.504316628198042
acer,Swift Go 14,14 Inches,Silver,512 GB,Intel Core i7,16.0,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,,1.1 GHz,4.3,762.19,512.0,0.7,0.210699302817789,0.825,0.22388059701492538,0.23247232472324722,0.7300071075479143,0.618556013726316
asus,VivoBook S 15,15.6 Inches,Midnight Black,1 TB,Intel Core i9,16.0,Windows 11 Home,,Integrated,Intel Iris,1.1 GHz,3.7,989.99,1024.0,0.9,0.27885792420644606,0.675,0.22388059701492538,0.46863468634686345,0.7767997375137254,0.6746932348298287
apple,MacBook Pro,16.2 Inches,Space Gray,512 GB,ARM 7100,32.0,macOS 12 Monterey,,Integrated,M1 Pro,1.1 GHz,4.7,1899.0,512.0,0.2,0.5508371534799457,0.925,0.4626865671641791,0.23247232472324722,0.5647407314453339,0.42028557876624845
acer,Aspire 5,15.6 Inches,Silver,256 GB,Ryzen 5,8.0,Windows 11,Backlit Keyboard,Integrated,,1.1 GHz,4.4,488.94,256.0,0.6,0.1289418695673476,0.8500000000000001,0.1044776119402985,0.1143911439114391,0.6772658200613061,0.5552821751093602
apple,"2022 Apple MacBook Air M2, 16GB RAM, 512GB Storage - Midnight (Z160000B1)",13.6 Inches,Black,512 GB,Apple M1,16.0,macOS 12 Monterey,Fingerprint Reader,Integrated,Apple Integrated Graphics,1.1 GHz,4.8,1459.94,512.0,0.8,0.4194687412459518,0.95,0.22388059701492538,0.23247232472324722,0.7607532198622818,0.6554421923045703
hp,Unknown,14 Inches,Rose Gold,64 GB,Celeron,16.0,Windows 11,,Integrated,Intel,1.1 GHz,4.7,389.99,64.0,0.2,0.09933565540401298,0.925,0.22388059701492538,0.025830258302583026,0.57628352706757,0.4341334960658653
samsung,NP754XFG-KB1US,15.6 Inches,Silver,16 GB,Intel Core i7,16.0,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,1.1 GHz,4.8,1099.99,16.0,0.7,0.3117703401535588,0.95,0.22388059701492538,0.0036900369003690036,0.7129755569073286,0.5981232249571271
microsoft,Surface Laptop Studio 2,14.4 Inches,Platinum,2 TB,Intel Core i7,64.0,Windows 11 Home,Portable,NVIDIA® GeForce RTX™ 4060,,1.1 GHz,5.0,3400.1937500000004,2048.0,0.7,1.0,1.0,0.9402985074626865,0.940959409594096,0.8742036129316516,0.7915488784358902
asus,Zenbook 15,15.6 Inches,Basalt Grey,1 TB,Ryzen 7,32.0,Windows 11 Home,Dolby,Integrated,,1.1 GHz,4.3,1299.0,1024.0,0.8,0.3713148846775125,0.825,0.4626865671641791,0.46863468634686345,0.8160695394493628,0.7218053025969693
samsung,Galaxy Book3 Pro,14 Inches,Graphite,1000 GB,unknown,16.0,Windows 11,,Integrated,,1.1 GHz,4.4,1199.0,1000.0,0.0,0.3413945065437736,0.8500000000000001,0.22388059701492538,0.4575645756457564,0.5001319044410938,0.3427742268840041
apple,MacBook Pro,13 Inches,Black,256 GB,Apple M1,16.0,macOS 12 Monterey,,Integrated,,3.4 GHz,4.7,1457.99,256.0,0.8,0.4188852938723439,0.925,0.22388059701492538,0.1143911439114391,0.7356577322152321,0.6253350805698328
hp,HP 15 scarlet red,15.6 Inches,Silver,1 TB,Celeron,16.0,Windows 11 Home,,Integrated,Intel UHD Graphics,1.1 GHz,4.3,469.0,1024.0,0.2,0.12297574616748004,0.825,0.22388059701492538,0.46863468634686345,0.6079761731215185,0.47215523325366177
gigabyte,G5 KF-E3US333SH,15.6 Inches,Black,512 GB,Intel Core i5,8.0,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,1.1 GHz,4.0,879.99,512.0,0.5,0.24594550825933334,0.75,0.1044776119402985,0.23247232472324722,0.60657726944468,0.47047696543527723
asus,Vivobook 15X,15.6 Inches,Indie Black,1 TB,Ryzen 7,16.0,Windows 11 Home,,Integrated,AMD Radeon Graphics,1.1 GHz,5.0,749.99,1024.0,0.8,0.20704901668547285,1.0,0.22388059701492538,0.46863468634686345,0.85366151901792,0.7669044831794825
acer,Chromebook Spin,11.6 Inches,Silver,64 GB,Celeron,4.0,Chrome OS,,Integrated,intel,1.1 GHz,4.5,226.0,64.0,0.2,0.05026922730249464,0.875,0.04477611940298507,0.025830258302583026,0.5352759171654855,0.3849365762585814
asus,Zenbook Pro 14 Duo,14.5 Inches,Tech Black,1 TB,Intel Core i9,32.0,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,1.1 GHz,4.0,2399.99,1024.0,0.9,0.7007352558921639,0.75,0.4626865671641791,0.46863468634686345,0.7626854652064325,0.6577603112944641
asus,ASUS Chromebook C203XA,11.6 Inches,Grey,32 GB,MediaTek_MT8127,4.0,Chrome OS,Spill resistant,Integrated,,1.1 GHz,4.3,184.62,32.0,0.2,0.037888174830753504,0.825,0.04477611940298507,0.01107011070110701,0.5205381055196123,0.36725559120707224
msi,Stealth 17Studio A13VH-053US,17.3 Inches,Black,1 TB,Intel Core i9,32.0,Windows 11 Home,Anti Glare Coating,RTX 4080,NVIDIA GeForce RTX 4080,1.1 GHz,4.2,2793.89,1024.0,0.9,0.8185916253609612,0.8,0.4626865671641791,0.46863468634686345,0.7541141913126731,0.6474773351491971
lenovo,Ideapad,15.6 Inches,Platinum Grey,256 GB,Intel Core i3,8.0,Windows 11 Home,Anti Glare Coating,Intel UHD Graphics,,1.1 GHz,4.3,429.0,256.0,0.3,0.1110075949139845,0.825,0.1044776119402985,0.1143911439114391,0.5683526749919786,0.4246188353846421
msi,MSI GF63,15.6 Inches,Black,512 GB,Intel Core i5,16.0,Windows 10 Home,Backlit Keyboard,Dedicated,Nvidia,1.1 GHz,4.1,729.99,512.0,0.5,0.20106494105872508,0.7749999999999999,0.22388059701492538,0.23247232472324722,0.6469339798997271,0.5188929997441143
apple,"2022 Apple MacBook Air M2, 16GB RAM, 256GB Storage - Space Gray (Z15S000CT)",13.6 Inches,Black,256 GB,Apple M1,16.0,macOS 12 Monterey,,Integrated,,3.4,5.0,1255.94,256.0,0.8,0.35843116985312456,1.0,0.22388059701492538,0.1143911439114391,0.7702485570190759,0.6668337691792365
hp,EliteBook 840,14 Inches,Silver,256 GB,Intel Core i5,16.0,Windows 10 Pro,Anti Glare Coating,Integrated,,1.1 GHz,4.0,1000.0,256.0,0.5,0.28185295405763333,0.75,0.22388059701492538,0.1143911439114391,0.6055642001781743,0.46926158400771983
asus,ProArt StudioBook 16,16 Inches,Black,1 TB,Intel Core i9,32.0,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4070,5.6 GHz,3.7,2499.99,1024.0,0.9,0.7306556340259027,0.675,0.4626865671641791,0.46863468634686345,0.7342013895796848,0.623587903106332
samsung,Chromebook 4+,15.6 Inches,Silver,64 GB,Celeron,4.0,Chrome OS,,Integrated,,1.1 GHz,4.4,205.0,64.0,0.2,0.04398594789440949,0.8500000000000001,0.04477611940298507,0.025830258302583026,0.5290325730471026,0.37744642258576894
hp,"HP 14"" Chromebook",14 Inches,Dale Gray,128 GB,Intel Core i3,8.0,Chrome OS,High Quality,Integrated,,1.1 GHz,3.9,265.99,128.0,0.3,0.06223438651817681,0.725,0.1044776119402985,0.055350553505535055,0.5392512281102546,0.3897057655438337
acer,Aspire 5,15.6 Inches,Silver,128 GB,Ryzen 3,4.0,Windows 11,"Fingerprint Reader, Backlit Keyboard",Integrated,,1.1 GHz,4.5,367.29,128.0,0.4,0.09254372956765426,0.875,0.04477611940298507,0.055350553505535055,0.6012490609928964,0.46408470203478175
asus,VivoBook 15,15.6 Inches,Slate Gray,128 GB,Intel Core i3,8.0,Windows 10 Home,"Backlit Keyboard,Fingerprint,Nanoedge Bezel",Integrated,,1.1 GHz,4.5,379.0,128.0,0.3,0.09604740584711509,0.875,0.1044776119402985,0.055350553505535055,0.5774886242444669,0.43557925379993817
acer,PH16-71-74UU,16 Inches,Black,1 TB,Intel Core i7,16.0,Windows 11 Home,"Backlit Keyboard, Memory Card Slot",Dedicated,,1.1 GHz,4.5,1649.99,1024.0,0.7,0.4763324198891225,0.875,0.22388059701492538,0.46863468634686345,0.7273048383771901,0.6153140954577982
asus,ASUS ROG Zephyrus Duo 16,16 Inches,Black,1000 GB,Ryzen 7,16.0,Windows 11 Home,Anti Glare Coating,RTX 3060,,1.1 GHz,4.3,1589.99,1000.0,0.8,0.45838019300887917,0.825,0.22388059701492538,0.4575645756457564,0.7492347671480727,0.6416234792452624
asus,Vivobook Pro 15,15.6 Inches,Quiet Blue,1 TB,Ryzen 9,32.0,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,1.1 GHz,4.6,1399.99,1024.0,1.0,0.40153147455477534,0.8999999999999999,0.4626865671641791,0.46863468634686345,0.9025262214739103,0.8255275742075685
dell,XPS9310-7321WHT-SUS,13.4 Inches,White,512 GB,Intel Core i7,16.0,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,,1.1 GHz,4.1,1229.99,512.0,0.7,0.3506668317274193,0.7749999999999999,0.22388059701492538,0.23247232472324722,0.6870136017659882,0.5669766102634506
dell,Dell G15 5520,15.6 Inches,Shadow Grey,512 GB,Intel Core i7,16.0,Windows 11 Home,,Dedicated,,1.1 GHz,4.2,1129.99,512.0,0.7,0.3207464535936805,0.8,0.22388059701492538,0.23247232472324722,0.700497677392736,0.5831534854548706
asus,Vivobook 14,14 Inches,Quiet Blue,256 GB,Intel Core i5,8.0,Windows 11 Home,,Integrated,Intel Iris,1.1 GHz,4.4,479.99,256.0,0.5,0.12626399572437796,0.8500000000000001,0.1044776119402985,0.1143911439114391,0.6428013948299,0.5139351283450613
hp,HP Chromebook,16 Inches,Chalkboard Gray,32 GB,AMD A Series,4.0,Chrome OS,Backlit Keyboard,Dedicated,,1.1 GHz,4.3,94.98,32.0,0.4,0.011067547871670004,0.825,0.04477611940298507,0.01107011070110701,0.595902230911429,0.4576700982241911
lg,17Z90R-A.ADB9U1,17 Inches,Black,2 TB,Intel Core i7,32.0,Windows 11 Home,,Dedicated,NVIDIA RTX3050,1.1 GHz,3.7,2296.99,2048.0,0.7,0.6699172664144128,0.675,0.4626865671641791,0.940959409594096,0.7471977715890676,0.6391796911921803
