brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,price,harddisk_gb,cpu_weight,normalized_price,normalized_rating,normalized_ram,normalized_harddisk,vfm_score,normalized_vfm_score
lenovo,ThinkPad L14 Gen 3,14 Inches,Black,256 GB,Intel Core i5,8.0,Windows 11,Anti-glare Screen,UHD Graphics,Intel UHD Graphics,1.1 GHz,5.0,1059.0,256.0,0.5,0.29950597715653926,1.0,0.1044776119402985,0.1143911439114391,0.6531529985434676,0.5263539700914874
dell,Latitude Rugged 5430 Laptop,14 Inches,Silver,512 GB,Intel Core i5,16.0,Windows 11 Pro,,Integrated,Intel Integrated Graphics,1.1 GHz,5.0,1354.99,512.0,0.5,0.38806730439459286,1.0,0.22388059701492538,0.23247232472324722,0.6770335072325535,0.5550034688976684
dell,Latitude 9330 2-in-1,13.3 Inches,Black,512 GB,Intel Core i7,16.0,Windows 11 Pro,,Integrated,Intel Integrated Graphics,1.1 GHz,5.0,1540.99,512.0,0.7,0.44371920772334716,1.0,0.22388059701492538,0.23247232472324722,0.7359031265668027,0.6256294807132259
lenovo,21EM001GUS,13 Inches,Black,512 GB,Intel Core i7,32.0,Windows 11 Pro,,Integrated,,1.1 GHz,5.0,2729.0,512.0,0.7,0.7991762919899781,1.0,0.4626865671641791,0.23247232472324722,0.7125729037433273,0.597640161070526
lenovo,Lenovo Thinkpad,17.3 Inches,Black,1000 GB,Intel Core i7,32.0,Windows,Backlit Keyboard,Integrated,,1.1 GHz,5.0,2273.0,1000.0,0.7,0.662739367700129,1.0,0.4626865671641791,0.4575645756457564,0.7736241262396735,0.6708834469987
dell,Latitude,15.6 Inches,Black,512 GB,Intel Core i7,8.0,Windows 11 Pro,Anti-glare,Integrated,Intel Iris Xe Graphics,1.1 GHz,5.0,1703.99,512.0,0.7,0.4924894240813415,1.0,0.1044776119402985,0.23247232472324722,0.7022684862802784,0.5852779287726464
samsung,Galaxy Book Odyssey,15.6 Inches,Black,1 TB,Intel Core i7,16.0,Windows 11 Home,"Backlit Kb,Fingerprint Reader",Dedicated,NVIDIA GeForce RTX 3050 Ti Max-Q Graphics,1.1 GHz,4.7,2388.42,1024.0,0.7,0.6972734681420903,0.925,0.22388059701492538,0.46863468634686345,0.6981166287265965,0.5802969361323178
alienware,AWm15-7830SLV-PUS,15.6 Inches,Black,1000 GB,Intel Core i7,16.0,Windows 10 Home,Anti-glare,Dedicated,NVIDIA GeForce GTX 1060,1.1 GHz,4.1,1799.95,1000.0,0.7,0.5212010189384774,0.7749999999999999,0.22388059701492538,0.4575645756457564,0.686670601962153,0.566565112644265
dell,Latitude 5320 2-in-1,13.3 Inches,Black,1000 GB,Intel Core i5,8.0,Windows 10 Pro,Wifi & Bluetooth,Integrated,,1.1 GHz,5.0,756.99,1000.0,0.5,0.20914344315483457,1.0,0.1044776119402985,0.4575645756457564,0.7227015201039562,0.6097914843991084
dell,Inspiron 5625 Laptop,16 Inches,"Grey, Gray, Platinum Silver",512 GB,Ryzen 7,16.0,Windows 11 Pro,,Integrated,AMD Integrated Graphics,1.1 GHz,5.0,702.99,512.0,0.8,0.1929864389626156,1.0,0.22388059701492538,0.23247232472324722,0.821049680318949,0.7277799885534302
lenovo,ThinkPad,14 Inches,Black,256 GB,Intel Core i5,8.0,Windows 10,"Backlit Keyboard,Fingerprint Reader","Integrated, Dedicated",Intel Graphics Integrated,1.1 GHz,3.3,374.99,256.0,0.5,0.09484759868395215,0.575,0.1044776119402985,0.1143911439114391,0.5665846742379851,0.42249776099086206
lenovo,13w Yoga,13.3 Inches,Black,256 GB,Ryzen 5,8.0,Windows 11 Pro,Information Not Available,Radeon Graphics,AMD Radeon Graphics,1.1 GHz,5.0,859.0,256.0,0.6,0.2396652208890616,1.0,0.1044776119402985,0.1143911439114391,0.7001211497969632,0.5827017644699437
dell,Inspiron 3511,15.6 Inches,Black,1 TB,Intel Core i5,32.0,Windows 11 Home,,Integrated,Intel UHD Graphics,1 GHz,5.0,678.08,1024.0,0.5,0.18553327276950127,1.0,0.4626865671641791,0.46863468634686345,0.8007258618309651,0.7033974588054501
dell,Latitude,14 Inches,Black,512 GB,Intel Core i5,16.0,Windows 11 Pro,"High Definition Audio, Anti Glare Coating, Memory Card Slot",Integrated,,1.1 GHz,5.0,841.99,512.0,0.5,0.23457576456851262,1.0,0.22388059701492538,0.23247232472324722,0.7077318151977696,0.5918322964930869
dell,Latitude 5520 Laptop,15.6 Inches,Black,512 GB,Intel Core i7,16.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,1.1 GHz,5.0,1347.47,512.0,0.7,0.3858172919589357,1.0,0.22388059701492538,0.23247232472324722,0.747483509719685,0.6395224918560434
dell,Latitude 3320 Laptop,13.3 Inches,Black,256 GB,Intel Core i5,16.0,Windows 11 Home,Wifi & Bluetooth,Integrated,,1.1 GHz,5.0,730.99,256.0,0.5,0.2013641448400625,1.0,0.22388059701492538,0.1143911439114391,0.6966619620216884,0.5785517692864917
dell,Latitude 7430 Laptop,14 Inches,Aluminum,1000 GB,Intel Core i7,16.0,Windows 11 Pro,,Integrated,Intel Integrated Graphics,1.1 GHz,4.0,941.99,1000.0,0.7,0.2644961427022514,0.75,0.22388059701492538,0.4575645756457564,0.7305115772093982,0.6191612270889209
lenovo,ThinkPad P15 Gen 2,15.6 Inches,Black,1 TB,Intel Core i7,32.0,Windows 10 Pro,Anti-glare Screen,RTX A2000,,1.1 GHz,5.0,2603.0,1024.0,0.7,0.7614766155414672,1.0,0.4626865671641791,0.46863468634686345,0.7555371932765719,0.649184513735579
dell,Inspiron 3515,15.6 Inches,Black,256 GB,AMD R Series,8.0,Windows 10 Pro,,Integrated,AMD Radeon Graphics,2.1 GHz,5.0,976.99,256.0,0.0,0.27496827504906,1.0,0.1044776119402985,0.1143911439114391,0.48306053896496354,0.32229367216902854
dell,XPS 15 7590,15.6 Inches,Black,1 TB,Intel Core Duo,32.0,Windows 10 Pro,"Chiclet,Fingerprint Reader",Dedicated,NVIDIA GeForce GTX 1650,1.1 GHz,3.0,1599.95,1024.0,0.0,0.46136026267099955,0.5,0.4626865671641791,0.46863468634686345,0.42056046385066537,0.24731219456793957
dell,XPS 9320 Laptop,13.4 Inches,Black,2000 GB,Intel Core i7,32.0,Windows 11 Home,,Integrated,Intel Integrated Graphics,1.1 GHz,5.0,1350.99,2000.0,0.7,0.38687048926924333,1.0,0.4626865671641791,0.9188191881918819,0.8979860938077694,0.8200807730592137
lenovo,ThinkPad E15,15.6 Inches,Black,1000 GB,Intel Core i7,24.0,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,1.7 GHz,5.0,1094.99,1000.0,0.7,0.3102743212468719,1.0,0.34328358208955223,0.4575645756457564,0.8202365385153995,0.7268044605429782
dell,Precision,15.6 Inches,Black,512 GB,Intel Core i7,16.0,Windows 10,,Dedicated,Radeon Pro WX Vega M GL,1.1 GHz,1.0,1399.95,512.0,0.7,0.40151950640352185,0.0,0.22388059701492538,0.23247232472324722,0.4443430668307678,0.2758442356796819
dell,Unknown,14 Inches,Black,32 GB,Intel Core i7,32.0,Windows 11,Backlit Kb,Integrated,,1.7 GHz,4.3,880.62,32.0,0.7,0.24613400664157595,0.825,0.4626865671641791,0.01107011070110701,0.7374710287096866,0.6275104963630846
dell,Inspiron 5425 Laptop,14 Inches,"Gray, Grey, Platinum Silver",512 GB,Ryzen 7,16.0,Windows 11 Home,,Integrated,AMD Integrated Graphics,1.1 GHz,5.0,800.19,512.0,0.8,0.22206904650860979,1.0,0.22388059701492538,0.23247232472324722,0.8152331588097501,0.720801894903772
dell,Latitude 5430 Laptop,14 Inches,Black,1000 GB,Intel Core i7,64.0,Windows 11 Pro,,Integrated,Intel Integrated Graphics,1.1 GHz,5.0,1134.49,1000.0,0.7,0.3220928706096987,1.0,0.9402985074626865,0.4575645756457564,0.937275813717461,0.8672167364636425
